Date_Scraped,Country,Report_Date,Gold_Tonnes
2026-02-24 13:30:53,China,2025-02-28,2284.55
2026-02-24 13:30:53,China,2025-03-31,2289.53
2026-02-24 13:30:53,China,2025-04-30,2292.33
2026-02-24 13:30:53,China,2025-05-30,2294.5
2026-02-24 13:30:53,China,2025-06-30,2296.37
2026-02-24 13:30:53,China,2025-07-31,2298.55
2026-02-24 13:30:53,China,2025-08-29,2300.41
2026-02-24 13:30:53,China,2025-09-30,2302.28
2026-02-24 13:30:53,China,2025-10-31,2303.52
2026-02-24 13:30:53,China,2025-11-28,2304.46
2026-02-24 13:30:53,China,2025-12-31,2305.39
2026-02-24 13:30:53,China,2026-01-30,2306.32
2026-02-24 13:16:48,Germany,2024-02-01,3352.33
2026-02-24 13:16:48,Germany,2024-03-01,3352.33
2026-02-24 13:16:48,Germany,2024-04-01,3351.96
2026-02-24 13:16:48,Germany,2024-05-01,3351.56
2026-02-24 13:16:48,Germany,2024-06-01,3351.56
2026-02-24 13:16:48,Germany,2024-07-01,3351.56
2026-02-24 13:16:48,Germany,2024-08-01,3351.56
2026-02-24 13:16:48,Germany,2024-09-01,3351.56
2026-02-24 13:16:48,Germany,2024-10-01,3351.56
2026-02-24 13:16:48,Germany,2024-11-01,3351.56
2026-02-24 13:16:48,Germany,2024-12-01,3351.56
2026-02-24 13:16:48,Germany,2025-01-01,3351.56
2026-02-24 13:16:48,Germany,2025-02-01,3351.56
2026-02-24 13:16:48,Germany,2025-03-01,3351.31
2026-02-24 13:16:48,Germany,2025-04-01,3351.12
2026-02-24 13:16:48,Germany,2025-05-01,3350.28
2026-02-24 13:16:48,Germany,2025-06-01,3350.28
2026-02-24 13:16:48,Germany,2025-07-01,3350.28
2026-02-24 13:16:48,Germany,2025-08-01,3350.28
2026-02-24 13:16:48,Germany,2025-09-01,3350.28
2026-02-24 13:16:48,Germany,2025-10-01,3350.28
2026-02-24 13:16:48,Germany,2025-11-01,3350.28
2026-02-24 13:16:48,Germany,2025-12-01,3350.28
2026-02-24 13:16:48,Germany,2026-01-01,3350.28
2026-02-24 17:13:27,India,2025-02-21,908.52
2026-02-24 17:13:27,India,2025-02-28,871.77
2026-02-24 17:13:27,India,2025-03-07,857.78
2026-02-24 17:13:27,India,2025-03-14,851.8
2026-02-24 17:13:27,India,2025-03-21,865.25
2026-02-24 17:13:27,India,2025-03-28,892.59
2026-02-24 17:13:27,India,2025-04-04,851.17
2026-02-24 17:13:27,India,2025-04-11,835.57
2026-02-24 17:13:27,India,2025-04-18,890.43
2026-02-24 17:13:27,India,2025-04-25,902.13
2026-02-24 17:13:27,India,2025-05-02,847.77
2026-02-24 17:13:27,India,2025-05-09,937.7
2026-02-24 17:13:27,India,2025-05-16,834.47
2026-02-24 17:13:27,India,2025-05-23,878.27
2026-02-24 17:13:27,India,2025-05-30,876.86
2026-02-24 17:13:27,India,2025-06-06,865.07
2026-02-24 17:13:27,India,2025-06-13,885.67
2026-02-24 17:13:27,India,2025-06-20,905.16
2026-02-24 17:13:27,India,2025-06-27,876.34
2026-02-24 17:13:27,India,2025-07-04,873.73
2026-02-24 17:13:27,India,2025-07-11,869.38
2026-02-24 17:13:27,India,2025-07-18,875.9
2026-02-24 17:13:27,India,2025-07-25,884.75
2026-02-24 17:13:27,India,2025-08-01,844.09
2026-02-24 17:13:27,India,2025-08-08,892.58
2026-02-24 17:13:27,India,2025-08-15,877.37
2026-02-24 17:13:27,India,2025-08-22,845.68
2026-02-24 17:13:27,India,2025-08-29,829.93
2026-02-24 17:13:27,India,2025-09-05,855.12
2026-02-24 17:13:27,India,2025-09-12,869.93
2026-02-24 17:13:27,India,2025-09-19,849.31
2026-02-24 17:13:27,India,2025-09-26,846.15
2026-02-24 17:13:27,India,2025-10-03,858.53
2026-02-24 17:13:27,India,2025-10-10,844.33
2026-02-24 17:13:27,India,2025-10-17,910.86
2026-02-24 17:13:27,India,2025-10-24,915.89
2026-02-24 17:13:27,India,2025-10-31,879.03
