Date,Country,Tonnes
2000-03,Japan,753.55
2000-03,China,395.01
2000-03,"Taiwan, China",422.07
2000-03,Hong Kong SAR,2.08
2000-03,South Korea,13.63
2000-03,Germany,3468.6
2000-03,United States of America,8138.82
2000-03,France,3024.63
2000-03,Brazil,115.76
2000-03,United Kingdom,588.27
2000-03,Mexico,6.8
2000-03,India,357.76
2000-03,Malaysia,36.39
2000-03,Spain,523.47
2000-03,Thailand,72.59
2000-03,Canada,46.19
2000-03,Switzerland,2590.18
2000-03,Indonesia,96.45
2000-03,Italy,2451.84
2000-03,Poland,102.8
2000-03,Argentina,10.36
2000-03,Norway,36.83
2000-03,Turkey,116.44
2000-03,Denmark,66.6
2000-03,Saudi Arabia,142.95
2000-03,Greece,132.03
2000-03,Australia,79.69
2000-03,Sweden,185.42
2000-03,Austria,407.48
2000-03,Chile,35.96
2000-03,Philippines,203.48
2000-03,Egypt,75.65
2000-03,Czech Republic,13.87
2000-03,Russian Federation,422.6
2000-03,Venezuela,311.03
2000-03,United Arab Emirates,12.35
2000-03,Hungary,3.14
2000-03,Belgium,258.09
2000-03,Netherlands,911.82
2000-03,Peru,34.21
2000-03,Portugal,606.7
2000-03,Colombia,10.2
2000-03,Libya,143.82
2000-03,Finland,49.05
2000-03,Lebanon,286.83
2000-03,Nigeria,21.37
2000-03,South Africa,124.41
2000-03,Algeria,173.64
2000-03,Kuwait,78.96
2000-03,Ireland,5.47
2000-03,Morocco,21.94
2000-03,Slovakia,40.12
2000-03,Slovenia,0.01
2000-03,Jordan,12.37
2000-03,Croatia,0.0
2000-03,Bulgaria,39.91
2000-03,Uruguay,56.45
2000-03,Oman,9.04
2000-03,Cyprus,14.42
2000-03,El Salvador,14.59
2000-03,Tunisia,6.77
2000-03,Yemen,1.56
2000-03,Malta,0.19
2000-03,Romania,103.67
2000-03,Pakistan,64.95
2000-03,Bangladesh,3.29
2000-03,Sri Lanka,8.13
2000-03,Turkmenistan,0.0
2000-03,Costa Rica,0.06
2000-03,Bahrain,4.67
2000-03,Honduras,0.67
2000-03,Kazakhstan,56.04
2000-03,Guatemala,6.7
2000-03,Lithuania,5.79
2000-03,Qatar,0.6
2000-03,Ukraine,13.4
2000-03,Nepal,4.75
2000-03,Bolivia,29.22
2000-03,Paraguay,1.09
2000-03,Trinidad and Tobago,1.86
2000-03,Latvia,7.75
2000-03,Kenya,0.0
2000-03,Estonia,0.25
2000-03,Mauritius,1.92
2000-03,Mozambique,1.7
2000-03,Azerbaijan,0.0
2000-03,Dominican Republic,0.56
2000-03,Ecuador,26.3
2000-03,Albania,3.73
2000-03,Cambodia,12.44
2000-03,Nicaragua,0.0
2000-03,Iceland,1.84
2000-03,Bosnia and Herzegovina,0.0
2000-03,North Macedonia,3.34
2000-03,Ghana,8.71
2000-03,Fiji,0.02
2000-03,Armenia,1.36
2000-03,Haiti,0.04
2000-03,Malawi,0.4
2000-03,Kyrgyzstan,2.58
2000-03,Aruba,3.11
